Co2 Data from 2017/4/7 8:30:32
Sensor is K30 FR from Co2meter.com, In Blue Box

Time(Unix)	Co2(ppm)
1491555336	456
1491555337	445
1491555338	34
1491555339	123
1491555340	506
1491555341	436
1491555342	898
1491555343	898
1491555344	1208
1491555345	2796
1491555346	400
1491555348	1475
1491555349	781
1491555350	1828
1491555351	1875
1491555352	1378
1491555353	1194
1491555354	444
1491555355	208
1491555356	279
1491555357	374
1491555358	455
1491555359	123
1491555360	96
1491555362	1112
1491555363	1112
1491555364	1574
1491555365	1092
1491555366	734
1491555367	873
1491555368	2937
1491555369	1021
1491555370	2838
1491555371	2176
1491555372	1530
1491555373	1242
1491555374	909
1491555375	2396
1491555377	915
1491555378	1863
1491555379	1277
1491555380	1164
1491555381	967
1491555382	862
1491555383	65508
1491555384	324
1491555385	324
1491555386	499
1491555387	65496
1491555389	65496
1491555390	65496
1491555391	65425
1491555392	65425
1491555393	65425
1491555394	86
1491555395	1053
1491555396	694
1491555398	704
1491555399	459
1491555400	145
1491555401	1024
1491555402	65516
1491555403	582
1491555404	235
1491555405	235
1491555406	235
1491555407	235
1491555408	115
1491555409	508
1491555411	456
1491555412	519
1491555413	393
1491555414	415
1491555415	860
1491555416	10
1491555417	918
1491555418	395
1491555419	423
1491555420	750
1491555421	456
1491555422	306
1491555423	58
1491555425	940
1491555426	1429
1491555427	2373
1491555428	4189
1491555429	4189
1491555430	4189
1491555431	5952
1491555432	3644
1491555433	2034
1491555434	1137
1491555435	853
1491555436	781
1491555438	671
1491555439	121
1491555440	162
1491555441	35
1491555442	1313
1491555443	342
1491555444	1692
1491555445	2240
1491555446	1600
1491555447	1600
1491555448	791
1491555449	198
1491555451	498
1491555452	385
1491555453	1429
1491555454	3579
1491555455	1565
1491555456	3150
1491555457	1799
1491555458	2210
1491555459	3195
1491555460	990
1491555461	1685
1491555462	2765
1491555463	1620
1491555465	1639
1491555466	1040
1491555467	905
1491555468	905
1491555469	1904
1491555470	669
1491555471	235
1491555472	506
1491555473	784
1491555474	30
1491555475	831
1491555476	354
1491555477	598
1491555479	272
1491555480	156
1491555481	744
1491555482	2259
1491555483	4679
1491555484	3423
1491555485	654
1491555486	296
1491555487	307
1491555488	707
1491555489	879
1491555490	91
1491555491	91
1491555493	91
1491555494	65493
1491555495	65493
1491555496	940
1491555497	733
1491555498	1790
1491555499	1385
1491555500	1065
1491555501	582
1491555502	65473
1491555503	210
1491555505	65518
1491555506	376
1491555507	114
1491555508	2198
1491555509	3828
1491555510	1578
1491555511	211
1491555512	231
1491555513	418
1491555514	2520
1491555515	1761
1491555516	315
1491555518	315
1491555519	479
1491555520	479
1491555521	479
1491555522	668
1491555523	956
1491555524	665
1491555525	256
1491555526	95
1491555527	893
1491555528	893
1491555529	433
1491555531	817
1491555532	3976
1491555533	3141
1491555534	3141
1491555535	1130
1491555536	1227
1491555537	967
1491555538	951
1491555539	1056
1491555540	2022
1491555541	849
1491555542	709
1491555543	65
1491555545	65497
1491555546	65493
1491555547	200
1491555548	3204
1491555549	2306
1491555550	1400
1491555551	1400
1491555552	1104
1491555553	765
1491555554	605
1491555556	528
1491555557	485
1491555558	458
1491555559	441
1491555560	435
1491555561	432
1491555562	431
1491555563	429
1491555564	428
1491555565	428
1491555566	428
1491555567	429
1491555568	429
1491555570	429
1491555571	428
1491555572	428
1491555573	428
1491555574	428
1491555575	428
1491555576	428
1491555577	428
1491555578	428
1491555579	428
1491555580	428
1491555581	428
1491555583	428
1491555584	428
1491555585	428
1491555586	428
1491555587	428
1491555588	428
1491555589	428
1491555590	428
1491555591	428
1491555592	428
1491555593	428
1491555594	428
1491555596	428
1491555597	428
1491555598	428
1491555599	428
1491555600	428
1491555601	428
1491555602	428
1491555603	428
1491555604	428
1491555605	428
1491555606	428
1491555607	428
1491555609	428
1491555610	428
1491555611	428
1491555612	428
1491555613	428
1491555614	428
1491555615	428
1491555616	428
1491555617	428
1491555618	428
1491555619	428
1491555620	428
1491555621	428
1491555622	428
1491555624	428
1491555625	428
1491555626	428
1491555627	428
1491555628	428
1491555629	427
1491555630	471
1491555631	397
1491555632	403
1491555633	519
1491555634	476
1491555635	573
1491555636	512
1491555638	334
1491555639	363
1491555640	399
1491555641	570
1491555642	503
1491555643	338
1491555644	340
1491555645	372
1491555646	496
1491555647	476
1491555648	507
1491555649	381
1491555650	320
1491555652	439
1491555653	1331
1491555654	1076
1491555655	1066
1491555656	2988
1491555657	2988
1491555658	386
1491555659	239
1491555660	475
1491555661	205
1491555662	205
1491555663	65481
1491555665	65421
1491555666	60
1491555667	991
1491555668	642
1491555669	675
1491555670	675
1491555671	1482
1491555672	2314
1491555673	1628
1491555674	1239
1491555675	1964
1491555677	2602
1491555678	2602
1491555679	3091
1491555680	2628
1491555681	1309
1491555682	1698
1491555683	1698
1491555684	2631
1491555685	600
1491555686	415
1491555687	510
1491555688	503
1491555690	274
1491555691	274
1491555692	56
1491555693	77
1491555694	967
1491555695	525
1491555696	503
1491555697	223
1491555698	223
1491555699	394
1491555700	987
1491555701	1211
1491555702	1219
1491555704	2475
1491555705	2581
1491555706	1764
1491555707	1194
1491555708	1194
1491555709	999
1491555710	1207
1491555711	869
1491555712	643
1491555713	749
1491555714	120
1491555715	351
1491555716	343
1491555718	593
1491555719	766
1491555720	600
1491555721	900
1491555722	814
1491555723	166
1491555724	2383
1491555725	1440
1491555726	1666
1491555727	262
1491555728	135
1491555729	92
1491555731	130
1491555732	792
1491555733	792
1491555734	2198
1491555735	3137
1491555736	1280
1491555737	1221
1491555738	6
1491555739	6
1491555740	359
1491555741	168
1491555743	1443
1491555744	210
1491555745	138
1491555746	322
1491555747	1152
1491555748	1376
1491555749	2956
1491555750	1013
1491555751	307
1491555752	561
1491555753	99
1491555754	681
1491555755	193
1491555757	1350
1491555758	1245
1491555759	803
1491555760	1258
1491555761	1258
1491555762	1004
1491555763	882
1491555764	443
1491555765	620
1491555766	1055
1491555767	797
1491555768	2069
1491555769	871
1491555770	874
1491555772	627
1491555773	65462
1491555774	93
1491555775	65530
1491555776	383
1491555777	88
1491555778	177
1491555779	318
1491555780	44
1491555781	65509
1491555783	51
1491555784	30
1491555785	172
1491555786	30
1491555787	65485
1491555788	65485
1491555789	182
1491555790	49
1491555791	51
1491555792	191
1491555793	569
1491555794	213
1491555796	2607
