FileType,NCAR GAUS raw and derived sounding data
FileFormat,CSV
SondeType,Vaisala RS92-SGP,PTU Block >>>,,,,,,,,,,,,,,,,,,,,,,GPS Block >>>
Labels,Data Date & Time (UTC),PTU Time (sec),Sonde PTU (elapsed sec),Pressure (mb),Air Temp (C),Relative Humidity 1 (%),Relative Humidity 2 (%),Best RH (1 or 2) (%),Dewpoint (C),Mixing Ratio (g/Kg),Virtual Temp (C),Water Vapor Press (mb),Potential Temp (K),Equiv Potential Temp (K),Geopotential Altitude (m),Vertical Velocity (m/s),Frame Count,Sonde ID,Data Type,CRC Type,Sonde Status,Battery Volts,Bit error flag (0-1),Wind Time (sec),Sonde Winds (elapsed sec),Wind Direction (deg),Wind Speed (m/s),U Wind (m/s),V Wind (m/s),Vertical Velocity (m/s),Longitude (deg),Latitude (deg),Altitude (m),Lon Offset (m),Lat Offset (m),Alt Offset (m),Range (m),Azimuth Angle (deg),Elevation Angle (deg),Sat's used in solution,Sat's tracked by sonde,Velocity error estimate,Position error estimate,RS92-SGP Time,RS92-SGP Status,RS92-SGP GPS Week,RS92-SGP GPS Seconds,RS92-SGP GPS HDOP (0-99),RS92-SGP GPS VDOP (0-99),Bit error flag (0-1)
Data,2016-06-06 19:10:12.374Z,16.999164,158,972.21582,28.741357,35.662842,32.781349,35.662842,12.068737,9.139771,30.419393,14.037084,304.334055,328.150699,351.01886,-1.808598,158,161914200,32813,45,1039,0,0,16.999164,158,247.620855,0.525775,0.20018,0.486176,-0.520059,-97.520742,34.982712,328.002495,-2.04056,-1.048596,-24.997505,1.973196,237.898539,-85.486675,5,5,3.9,0,0,0,876,155429.76,3.9,2.2,0
Data,2016-06-06 19:10:13.374Z,17.999164,159,972.071106,28.938867,38.028858,35.28244,38.028858,13.222998,9.871348,30.752983,15.14566,304.546128,330.348239,352.34235,1.323489,159,161914200,32813,45,1039,0,0,17.999164,159,358.604797,0.267923,-0.267844,0.006524,-0.31891,-97.520754,34.98269,327.780529,-3.395187,-3.470017,-25.219471,4.446791,218.724397,-80.000181,5,5,3.9,0,0,0,876,155430.76,3.9,2.2,0
Data,2016-06-06 19:10:14.374Z,18.999164,160,972.035828,29.093652,37.509003,34.988106,37.509003,13.149544,9.823728,30.90042,15.077112,304.705335,330.377598,352.665274,0.322924,160,161914200,32813,45,1039,0,0,18.999164,160,124.651865,0.115871,0.065883,-0.095318,0.224802,-97.520729,34.982712,325.387204,-0.592872,-1.086586,-27.612796,1.189538,204.013135,-87.533268,5,6,3.9,0,0,0,876,155431.76,3.9,2.2,0
Data,2016-06-06 19:10:15.374Z,19.999164,161,972.131592,29.278314,37.452068,35.519859,37.452068,13.289949,9.914639,31.103517,15.22088,304.882911,330.801195,351.788207,-0.877067,161,161914200,32813,45,1039,0,0,19.999164,161,229.549313,0.143066,0.092821,0.108868,0.267738,-97.52074,34.982721,324.33433,-1.833508,-0,-28.66567,1.501061,270,-87.002477,5,6,3.9,0,0,0,876,155432.76,3.9,2.2,0
Data,2016-06-06 19:10:16.374Z,20.999164,162,972.143555,29.042993,37.830875,35.976299,37.830875,13.235468,9.878767,30.859419,15.160634,304.644608,330.465993,351.678657,-0.10955,162,161914200,32813,45,1039,0,0,20.999164,162,151.474867,0.244956,0.215221,-0.116978,-0.397559,-97.520697,34.982727,314.464487,2.949117,0.561646,-38.535513,2.481068,76.916401,-86.316156,5,6,3.9,0,0,0,876,155433.76,3.9,2.2,0
Data,2016-06-06 19:10:17.374Z,21.999164,163,972.093384,29.076593,37.961838,36.277748,37.961838,13.318248,9.93365,30.90342,15.243622,304.682977,330.65403,352.137954,0.459297,163,161914200,32813,45,1295,0,0,21.999164,163,248.445612,0.594578,0.218439,0.552999,-0.494347,-97.520693,34.982713,315.007093,3.336275,-0.958801,-37.992907,2.895142,109.329355,-85.642359,4,4,4.7,0,0,0,876,155434.76,4.7,3,0
Data,2016-06-06 19:10:18.374Z,22.999164,164,972.15802,29.293512,37.166985,35.497272,37.166985,13.186352,9.846489,31.10631,15.118712,304.895862,330.628426,351.545996,-0.591958,164,161914200,32813,45,1295,0,0,22.999164,164,37.816572,0.468931,-0.370445,-0.287518,0.576006,-97.52067,34.982722,313.966602,5.892119,0,-39.033398,4.827726,90,-82.949353,4,4,4.7,0,0,0,876,155435.76,4.7,3,0
Data,2016-06-06 19:10:19.374Z,23.999164,165,972.168884,29.065637,36.875519,35.668468,36.875519,12.864262,9.638008,30.837998,14.797741,304.665165,329.831686,351.446513,-0.099484,165,161914200,32813,45,1295,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:20.374Z,24.999164,166,972.017151,29.04165,37.172344,35.175583,37.172344,12.965543,9.704637,30.826048,14.895537,304.654584,330.003344,352.83539,1.388877,166,161914200,32813,45,1295,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:21.374Z,25.999164,167,972.014893,29.08526,36.039051,35.229397,36.039051,12.531567,9.428458,30.81926,14.479005,304.698752,329.297644,352.856062,0.020672,167,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:22.374Z,26.999164,168,972.050964,28.582574,33.532982,32.915596,33.532982,10.998412,8.507943,30.143407,13.074403,304.18874,326.302075,352.526243,-0.329819,168,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:23.374Z,27.999164,169,972.304504,28.7633,35.516323,34.846947,35.516323,12.025584,9.112598,30.436527,13.997713,304.348235,328.090693,350.209829,-2.316414,169,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:24.374Z,28.999164,170,972.101318,29.01156,34.238972,34.167336,34.238972,11.688665,8.91127,30.649839,13.695497,304.616705,327.815795,352.067695,1.857867,170,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:25.374Z,29.999164,171,972.109558,28.539667,33.062611,32.519211,33.062611,10.748456,8.365307,30.074015,12.858072,304.14024,325.869642,351.992391,-0.075304,171,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:26.374Z,30.999164,172,972.009766,28.663477,35.047619,34.636848,35.047619,11.73635,8.940643,30.304331,13.731025,304.273989,327.554025,352.903932,0.91154,172,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:27.374Z,31.999164,173,972.102722,28.766504,35.000881,34.489571,35.000881,11.806742,8.982025,30.415783,13.797202,304.369532,327.760419,352.054352,-0.84958,173,161914200,32813,45,1295,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:28.374Z,32.999164,174,972.057129,28.749017,36.255142,35.759808,36.255142,12.325798,9.299571,30.456455,14.276735,304.355986,328.60632,352.471147,0.416796,174,161914200,32813,45,1295,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:29.374Z,33.999164,175,972.174011,29.249933,37.279625,37.050472,37.279625,13.194101,9.851387,31.063228,15.125183,304.850495,330.596416,351.401555,-1.069592,175,161914200,32813,45,1295,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:30.374Z,34.999164,176,972.039856,29.626825,37.188366,35.603165,37.188366,13.490277,10.048052,31.479944,15.431026,305.242489,331.523596,352.631291,1.229736,176,161914200,32813,45,1295,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:31.374Z,35.999164,177,971.957703,29.507043,37.797779,37.331776,37.797779,13.633765,10.144777,31.376824,15.572293,305.129107,331.674984,353.384822,0.753531,177,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:32.374Z,36.999164,178,972.24469,29.295374,35.573463,35.350475,35.573463,12.518687,9.418109,31.029324,14.472109,304.889964,329.458464,350.754726,-2.630095,178,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:33.374Z,37.999164,179,972.050476,29.121881,35.977264,35.606705,35.977264,12.537729,9.43198,30.856849,14.485774,304.732481,329.340546,352.532994,1.778268,179,161914200,32813,45,1039,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:34.374Z,38.999164,180,972.157349,29.258661,37.020672,36.541328,36.541328,12.895842,9.658377,31.060198,15.027938,304.860788,330.082078,351.55435,-0.978644,180,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:35.374Z,39.999164,181,972.066528,29.54931,3.118253,38.173386,38.173386,13.823346,10.271523,31.44287,15.76672,305.161948,332.052666,352.386796,0.832446,181,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:36.374Z,40.999164,182,972.046936,29.865839,0.081138,36.797394,36.797394,13.539478,10.080753,31.727356,15.48793,305.482812,331.852114,352.566583,0.179787,182,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:37.374Z,41.999164,183,972.019409,29.326318,999,36.954098,36.954098,13.127443,9.8095,31.132612,15.061544,304.941369,330.574244,352.819059,0.252476,183,161914200,32813,45,1487,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:38.374Z,42.999164,184,972.177246,29.04812,999,34.689354,34.689354,11.918722,9.048899,30.712006,13.905927,304.646757,328.217028,351.373893,-1.445166,184,161914200,32813,45,1487,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:39.374Z,43.999164,185,972.013,29.022638,999,34.747406,34.747406,11.921693,9.05225,30.686926,13.908052,304.635789,328.216331,352.87664,1.502748,185,161914200,32813,45,1487,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:40.374Z,44.999164,186,972.028992,29.178247,999,36.009956,36.009956,12.601291,9.472213,30.921114,14.547742,304.791232,329.508386,352.730269,-0.146371,186,161914200,32813,45,1487,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:41.374Z,45.999164,187,972.134216,29.367639,999,36.485405,36.485405,12.96872,9.705498,31.155163,14.907196,304.972725,330.321846,351.766441,-0.963828,187,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:42.374Z,46.999164,188,971.92688,29.308466,999,36.911591,36.911591,13.094034,9.788719,31.110767,15.028216,304.931673,330.508789,353.666276,1.899835,188,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:43.374Z,47.999164,189,972.035278,29.494928,999,37.059029,37.059029,13.320081,9.93546,31.326015,15.256911,305.109929,331.084864,352.672686,-0.99359,189,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:44.374Z,48.999164,190,972.023743,29.63775,999,36.796551,36.796551,13.337456,9.947027,31.472344,15.278393,305.25495,331.26096,352.77848,0.105794,190,161914200,32813,45,1231,0,0,48.999164,190,282.939882,0.181807,-0.040712,0.177191,-0.221474,-97.520979,34.982737,353.580439,-28.384746,1.655256,0.580439,23.31511,274.071138,1.426106,4,4,9.7,0,0,0,876,155461.76,9.7,4.8,0
Data,2016-06-06 19:10:45.374Z,49.999164,191,972.068481,29.83764,999,38.392986,38.392986,14.167894,10.507665,31.777697,16.132367,305.452448,332.987318,352.36788,-0.4106,191,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:46.374Z,50.999164,192,972.077759,29.810785,999,37.973263,37.973263,13.974548,10.374445,31.725969,15.930476,305.424541,332.595261,352.282702,-0.085178,192,161914200,32813,45,1231,0,0,0,0,999,999,999,999,999,999,99,99999,9999999,9999999,99999,999999,999,99,0,0,99,99,0,0,0,0,99,99,1
Data,2016-06-06 19:10:47.374Z,51.999164,193,971.968567,29.833063,999,38.609478,38.609478,14.250621,10.566194,31.783877,16.218907,305.456813,333.152642,353.285286,1.002584,193,161914200,32813,45,1487,0,0,51.999164,193,108.083905,0.88709,0.275361,-0.84327,0.353505,-97.520874,34.982713,342.798652,-16.808669,-0.930174,-10.201348,13.803235,266.136019,-36.466433,4,6,9.7,0,0,0,876,155464.76,9.7,4.8,0
Data,2016-06-06 19:10:48.374Z,52.999164,194,972.127319,29.922327,999,35.999516,35.999516,13.253109,9.890497,31.749268,15.203219,305.532534,331.382872,351.827626,-1.45766,194,161914200,32813,45,1487,0,0,52.999164,194,205.629701,0.630189,0.568184,0.27259,-0.391655,-97.520872,34.982699,341.584289,-16.549838,-2.552687,-11.415711,13.798011,259.338636,-39.602475,4,6,9.7,0,0,0,876,155465.76,9.7,4.8,0
Data,2016-06-06 19:10:49.374Z,53.999164,195,971.963562,29.723383,999,36.031574,36.031574,13.091292,9.786563,31.5292,15.03734,305.346687,330.916234,353.330617,1.502991,195,161914200,32813,45,1487,0,0,53.999164,195,270.922948,0.398923,-0.006426,0.398871,0.064999,-97.520943,34.982692,348.79322,-24.418349,-3.345717,-4.20678,20.284219,260.506248,-11.716576,4,5,9.7,0,0,0,876,155466.76,9.7,4.8,0
Data,2016-06-06 19:10:50.374Z,54.999164,196,972.096924,29.559381,999,36.428921,36.428921,13.114388,9.800211,31.366152,15.055242,305.169372,330.775593,352.107351,-1.223266,196,161914200,32813,45,1487,0,0,54.999164,196,272.025783,0.1562,-0.005522,0.156103,-0.22936,-97.520973,34.982696,353.199163,-27.814628,-2.832197,0.199163,22.964568,262.915734,0.496892,4,5,9.7,0,0,0,876,155467.76,9.7,4.8,0
Data,2016-06-06 19:10:51.374Z,55.999164,197,971.97583,29.376672,999,35.882977,35.882977,12.722408,9.549426,31.135535,14.668954,304.996045,329.922445,353.217363,1.110012,197,161914200,32813,45,1231,0,0,55.999164,197,259.337083,0.653679,0.120951,0.642392,-1.06688,-97.521066,34.982698,360.193115,-38.057393,-2.653102,7.193115,31.294012,265.136634,12.944925,4,5,9.7,0,0,0,876,155468.76,9.7,4.8,0
Data,2016-06-06 19:10:52.374Z,56.999164,198,972.119324,28.80459,999,34.381588,34.381588,11.569999,8.840489,30.428185,13.583888,304.40644,327.414931,351.904063,-1.3133,198,161914200,32813,45,1231,0,0,56.999164,198,336.183427,0.201623,-0.184453,0.081417,-0.254828,-97.521019,34.982709,357.896436,-32.884959,-1.388786,4.896436,26.979044,267.04933,10.286662,4,6,9.7,0,0,0,876,155469.76,9.7,4.8,0
Data,2016-06-06 19:10:53.374Z,57.999164,199,971.991943,29.106561,999,35.013866,35.013866,12.111368,9.16799,30.792841,14.085004,304.722284,328.615746,353.069222,1.165159,199,161914200,32813,45,1231,0,0,57.999164,199,68.61176,0.279964,-0.102099,-0.260683,0.592379,-97.520971,34.982723,353.376763,-27.54568,0.189871,0.376763,22.569892,270.482015,0.956359,4,6,9.7,0,0,0,876,155470.76,9.7,4.8,0
Data,2016-06-06 19:10:54.374Z,58.999164,200,972.10614,28.945459,999,36.519241,36.519241,12.60985,9.47685,30.687136,14.550146,304.549635,329.279559,352.024202,-1.04502,200,161914200,32813,45,1231,0,0,58.999164,200,144.452435,0.069723,0.056729,-0.040535,-0.531928,-97.520918,34.982715,350.951767,-21.624036,-0.74147,-2.048233,17.73261,267.603541,-6.588842,4,6,9.7,0,0,0,876,155471.76,9.7,4.8,0
Data,2016-06-06 19:10:55.374Z,59.999164,201,972.082886,29.021997,999,36.04966,36.04966,12.480236,9.395593,30.749402,14.428743,304.628879,329.138375,352.236979,0.212777,201,161914200,32813,45,1231,0,0,59.999164,201,271.233105,1.158221,-0.024925,1.157953,-1.554215,-97.520905,34.982705,352.718333,-20.19025,-1.840867,-0.281667,16.644325,263.650185,-0.969508,4,6,9.7,0,0,0,876,155472.76,9.7,4.8,0
Data,2016-06-06 19:10:56.374Z,60.999164,202,971.979431,29.323877,999,37.681065,37.681065,13.423814,10.004562,31.166064,15.355602,304.942495,331.106668,353.184392,0.947414,202,161914200,32813,45,1231,0,0,60.999164,202,175.633576,0.208086,0.207483,-0.015843,0.862025,-97.520757,34.982701,334.895185,-3.733993,-2.325434,-18.104815,3.842248,232.754783,-78.018319,5,6,2.5,0,0,0,876,155473.76,2.5,1.9,0
Data,2016-06-06 19:10:57.374Z,61.999164,203,971.851501,28.883173,999,35.485165,35.485165,12.11784,9.173301,30.568543,14.08574,304.509657,328.419154,354.355734,1.171342,203,161914200,32813,45,1231,0,0,61.999164,203,27.818393,0.237998,-0.210493,-0.111067,-0.760304,-97.520753,34.982699,334.774176,-3.2914,-2.543845,-18.225824,3.706132,226.67286,-78.505898,5,6,2.5,0,0,0,876,155474.76,2.5,1.9,0
Data,2016-06-06 19:10:58.374Z,62.999164,204,971.956909,29.36651,999,37.805611,37.805611,13.512273,10.063566,31.219969,15.445566,304.987497,331.312475,353.39051,-0.965224,204,161914200,32813,45,1231,0,0,62.999164,204,211.222176,0.327856,0.280371,0.169947,0.042523,-97.520743,34.982706,331.958906,-2.21222,-1.687609,-21.041094,2.479251,227.063085,-83.27988,5,6,2.5,0,0,0,876,155475.76,2.5,1.9,0
Data,2016-06-06 19:10:59.374Z,63.999164,205,971.956055,29.472803,999,37.22073,37.22073,13.367249,9.967388,31.309562,15.303283,305.094735,331.157297,353.398344,0.007834,205,161914200,32813,45,1231,0,0,63.999164,205,352.875337,0.10374,-0.102939,0.012867,0.564092,-97.520743,34.982717,326.576068,-2.18145,-0.493299,-26.423932,1.853066,254.561318,-85.988511,5,5,2.5,0,0,0,876,155476.76,2.5,1.9,0
Data,2016-06-06 19:11:00.374Z,64.999164,206,971.959778,29.522668,999,38.402512,38.402512,13.891797,10.31921,31.424753,15.836182,305.144674,332.166558,353.3642,-0.034144,206,161914200,32813,45,1231,0,0,64.999164,206,342.164378,0.197643,-0.188144,0.060536,-0.966736,-97.520744,34.982716,325.533661,-2.250591,-0.636846,-27.466339,1.950225,250.940477,-85.938577,5,5,2.5,0,0,0,876,155477.76,2.5,1.9,0
Data,2016-06-06 19:11:01.374Z,65.999164,207,972.014343,29.501733,999,34.930996,34.930996,12.422701,9.360293,31.226882,14.386653,305.118669,329.531469,352.863874,-0.500325,207,161914200,32813,45,1231,0,0,65.999164,207,110.118337,0.057771,0.019871,-0.054246,0.755065,-97.520742,34.982721,326.520714,-2.110046,-0,-26.479286,1.729806,270,-86.262363,5,5,2.5,0,0,0,876,155478.76,2.5,1.9,0
Data,2016-06-06 19:11:02.374Z,66.999164,208,972.034851,29.09115,999,35.228725,35.228725,12.190742,9.21632,30.786187,14.15842,304.7029,328.726902,352.676037,-0.187837,208,161914200,32813,45,1231,0,0,66.999164,208,310.707141,0.141081,-0.092012,0.106947,-0.571231,-97.520736,34.982735,328.335438,-1.430347,1.464593,-24.664562,1.874825,321.369578,-85.653141,5,5,2.5,0,0,0,876,155479.76,2.5,1.9,0
Data,2016-06-06 19:11:03.374Z,67.999164,209,971.947876,29.034235,999,34.901985,34.901985,11.999209,9.099928,30.707386,13.979586,304.653318,328.363191,353.472015,0.795978,209,161914200,32813,45,1231,0,0,67.999164,209,149.850598,0.402727,0.348246,-0.202272,0.216131,-97.520723,34.982734,327.710187,0,1.398486,-25.289813,1.398486,0,-86.834858,5,5,2.5,0,0,0,876,155480.76,2.5,1.9,0
