,sensor [K-30 FR],,
,CO2,,,
03/03/17 19:59:33.326,"439",,
03/03/17 19:59:34.326,"439",,
03/03/17 19:59:34.326,"439",,
03/03/17 19:59:35.326,"439",,
03/03/17 19:59:36.326,"438",,
03/03/17 19:59:37.326,"435",,
03/03/17 19:59:38.326,"436",,
03/03/17 19:59:39.326,"436",,
03/03/17 19:59:40.326,"437",,
03/03/17 19:59:41.326,"436",,
03/03/17 19:59:42.326,"436",,
03/03/17 19:59:43.326,"433",,
03/03/17 19:59:44.326,"433",,
03/03/17 19:59:45.327,"434",,
03/03/17 19:59:46.326,"434",,
03/03/17 19:59:47.326,"435",,
03/03/17 19:59:48.326,"434",,
03/03/17 19:59:49.326,"435",,
03/03/17 19:59:50.326,"435",,
03/03/17 19:59:51.326,"435",,
03/03/17 19:59:52.326,"435",,
03/03/17 19:59:53.326,"435",,
03/03/17 19:59:54.326,"436",,
03/03/17 19:59:55.326,"436",,
03/03/17 19:59:56.326,"436",,
03/03/17 19:59:57.326,"435",,
03/03/17 19:59:58.326,"434",,
03/03/17 19:59:59.326,"433",,
03/03/17 20:00:00.326,"432",,
03/03/17 20:00:01.326,"431",,
03/03/17 20:00:02.326,"432",,
03/03/17 20:00:03.327,"432",,
03/03/17 20:00:04.326,"432",,
03/03/17 20:00:05.327,"432",,
03/03/17 20:00:06.327,"432",,
03/03/17 20:00:07.326,"430",,
03/03/17 20:00:08.326,"427",,
03/03/17 20:00:09.328,"428",,
03/03/17 20:00:10.326,"428",,
03/03/17 20:00:11.327,"428",,
03/03/17 20:00:12.326,"428",,
03/03/17 20:00:13.327,"428",,
03/03/17 20:00:14.326,"428",,
03/03/17 20:00:15.327,"428",,
03/03/17 20:00:16.328,"428",,
03/03/17 20:00:17.326,"428",,
03/03/17 20:00:18.326,"428",,
03/03/17 20:00:19.327,"429",,
03/03/17 20:00:20.326,"429",,
03/03/17 20:00:21.326,"430",,
03/03/17 20:00:22.327,"430",,
03/03/17 20:00:23.328,"430",,
03/03/17 20:00:24.327,"430",,
03/03/17 20:00:25.326,"431",,
03/03/17 20:00:25.326,"431",,
03/03/17 20:00:26.327,"430",,
03/03/17 20:00:27.327,"431",,
03/03/17 20:00:28.327,"431",,
03/03/17 20:00:29.326,"431",,
03/03/17 20:00:30.326,"431",,
03/03/17 20:00:31.327,"432",,
